	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 32 bit mode.
		Build: linux-arm 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Feb 20 22:24:28 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: ./iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     2729     2990     8040     7965     7965     3348     7964      3368      7924   127232   179219   244297   243190
              64       8     5226     5211    13160    13211    13018     6263    13003      6253     12856   142572   210569   277078   285628
              64      16     9456     9692    19058    19081    19156     9414    18878      2281     19099   146461   252098   296023   313664
              64      32    16994    16627    25386    25437    25146    10958    24559     18302     24961   193843   351444   309326   326641
              64      64    18079    17763    29780    29810    30047    18243    29711     19411     29949   139099   191629   263222   326244
             128       4     2932     3048     8065     8050     7985     3672     7952      3665      7961   129154   185780   263326   263326
             128       8     5494     5689    13112    13160    12935     6480    12758      6530     12998   138375   204148   287587   290230
             128      16     9756     9722    19164    19297    18960    10278    19059      9917     19084   157634   206107   312169   312897
             128      32    15085    14626    25072    25351    25286    15839    24763     15466     25177   181817   268461   319983   328199
             128      64    13838    16260    30397    30345    29768    17295    30019     15746     30296   201316   385460   322289   300464
             128     128    23902    21104    33204    33169    33369    23357    33101     23961     33307   147987   207783   331646   333293
             256       4     2534     2687     7986     7954     7876     3596     7916      3594      7910   125984   174144   255239   251002
             256       8     4990     5230    13080    13047    12907     6619    12959      6650     12985   137786   200781   283174   282578
