	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat May  2 05:48:13 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    31084    46613    19065    44599    39263    46548    15194     24086      5420   240575   338589   576282   598110
              64       8     7154     7540    50270    70256    59194    81645     7302     43332      5770   336889   504762   842003   901377
              64      16     7662     7914    20658    84418    82145   134973     5838     82906     20209   432398   760859  1049372  1183548
              64      32   148486   202469    21985   157181   154201   196828    26447    159991     21709   627470  1143223  1638743  1363961
              64      64   203698   231848   200653   213246   198135   254006   155003    255943    152710   542506   821391  1879725  1526887
             128       4    13099    14087    11439    14476    30424    46159     8941     23468     11040   227313   348661   643108   612303
             128       8    14409    15182    11892    15289    53892    83225    10000     46681     29283   342434   514339   953918   907174
             128      16    14222    14887    64128    95531    79550   131399    11704     88771     14120   410199   643108  1231904  1185654
             128      32   154193   207141    35048   104759   101587   199372    44443    202837    127893   549056   853794  1684006  1377278
             128      64    15554    15833   143671   160990   158424   272273    15245    261785     14665   673778  1048974  1526043  1543594
             128     128    15976    16068   198708    45199   199743   326602    15592    329004     15552   544601   790905  1622919  1684006
             256       4    16275    19697    19701    19822    27202    47301    20182     23682     17190   248505   345943   668662   613985
             256       8    59742    87489    72482    72458    46512    86544    19669     46394     18407   345498   470773  1007446   907792
             256      16    25090    27004    97890    97632    67438   141136    21929     89204     24770   431082   622890  1347557  1195962
             256      32    27871   212419    57129   130406    86287   210876    75093    175568     58448   517016   743688  1561112  1384034
             256      64    29384    29973    62836   154388   144130   264220    32221     29805     26302   633548   913973  1752173  1561112
             256     128    30447    30676    74205    73459   209846   328581    28577    326980     28728   764334  1325925  1881098  1683493
             256     256    31530    31208   275614   276181   270613   364127    30869     31321     30320   595264   885337  1817419  1778290
             512       4    32461    43715    44340    44490    29987    45580    18126     23239     20787   238694   352404   680918   608041
             512       8    31295    37160    60470    75749    45873    84587    24732     45894     27538   340880   508423  1038532   888562
             512      16    40554    45397    73850   104000    59598   139168    40696     86823     38717   419692   628322  1406520  1193838
             512      32    48822    50656    76957   132923   101287   206215    33224    164208     45665   502946   708084  1640796  1365383
             512      64    52593    54241    93601   155391   130341   281017    44505    290051     38200   570107   797489  1827947  1528669
             512     128    55202    56394   118027   239465   240808   333729    57840    335292     51153   693675   975328  1977778  1662389
             512     256    57392    57353   257158   261639   262406   369122    49975    371035     53100   795127  1399189  2039772  1747618
             512     512    61309    58588   292899   322212   314658   387856    47801    388136     48610   607353   879825  1977778  1753325
            1024       4    26268    34774    46454    47071    24300    46730    23948     23218     20196   246090   353355   682737   599537
            1024       8    43170    53815    53101    53191    45199    83360    31680     45325     33415   338404   520047  1047091   903860
            1024      16    61105    70762    66779    68397    66765   139911    36511     87031     40112   405078   615341  1442326  1197435
            1024      32    73221    81737   126984   151253    92270   207418    55321    171176     60427   466296   673318  1657133  1367037
            1024      64    85370    90780    80281    81698   111027   274091    64131    278192    169201   540124   767122  1851434  1542286
            1024     128    92393    96157   150812   224810   209318   332690    69731    336074     78569   608455   859026  2056183  1672621
            1024     256    97737   106332   100088   118449   281548   370741    83258    372219    184271   730460  1014925  2133821  1747480
            1024     512   101880   101849   323226   200945   195351   389078   114274    400171     94832   807657  1437980  2124322  1774922
            1024    1024   132043   119014   545891   558309   542375   708646   114310    143199     97673   609145   901394  2031864  1766163
            2048       4    29281    40304    47126    47326    21785    46302    19964     23552     20646   246569   344772   683161   607371
            2048       8    49089    64832    80865    81051    38264    83056    38792     45776     34515   339982   502458  1059464   907374
            2048      16    71528    93798    88037    87622    59557   139833    43604     88405     48999   411162   601459  1441069  1179157
            2048      32   103095   118709   165858   165951    97501   207102    66388    167429     72186   466190   658343  1677457  1348116
